Spectrum Number,Spectrum Name,Frequency (MHz),Wavenumber (cm-1),Pressure (Torr),Temperature (C),Tau (us),Tau Error (%),Alpha (ppm/cm),Model (ppm/cm),Residuals (ppm/cm),QF,Background
1,190510_2per_43_forfit,394397699.1546961,13155.69116667692,60.1244957603,24.7537901993,11.28014474740174,,2.957090557503572,2.956815889296675,-0.000274668206897033,4173.0,2.9487579869897202
1,190510_2per_43_forfit,394397898.1311306,13155.69780381635,60.1244957603,24.7537901993,11.27833032994756,,2.9575662836584344,2.956885234755592,-0.0006810489028423738,4173.0,2.9487654182810905
1,190510_2per_43_forfit,394398097.1075652,13155.704440955791,60.1244957603,24.7537901993,11.277240697554808,,2.9578520503732553,2.956960006209772,-0.0008920441634834297,4173.0,2.948777486638815
1,190510_2per_43_forfit,394398296.0839997,13155.711078095223,60.1244957603,24.7537901993,11.278882681009335,,2.9574214452978222,2.9570392591772428,-0.0003821861205794974,4173.0,2.9487941912828437
1,190510_2per_43_forfit,394398495.0604343,13155.717715234661,60.1244957603,24.7537901993,11.275990947291822,,2.9581798775589196,2.957122307809287,-0.0010575697496326697,4173.0,2.9488155184020157
1,190510_2per_43_forfit,394398694.0368688,13155.724352374094,60.1244957603,24.7537901993,11.276471013054293,,2.9580539409182096,2.957208617483757,-0.0008453234344525384,4173.0,2.9488414411927244
1,190510_2per_43_forfit,394398893.01330334,13155.73098951353,60.1244957603,24.7537901993,11.275982290058526,,2.958182148727202,2.9572977460457937,-0.000884402681408325,4173.0,2.9488719199343976
1,190510_2per_43_forfit,394399091.98973787,13155.737626652965,60.1244957603,24.7537901993,11.275285483144364,,2.9583649628810136,2.957389309836724,-0.0009756530442897038,4173.0,2.948906902101046
1,190510_2per_43_forfit,394399290.9661724,13155.7442637924,60.1244957603,24.7537901993,11.2740812171728,,2.9586809671910443,2.9574829632211874,-0.00119800396985692,4173.0,2.9489463225089345
1,190510_2per_43_forfit,394399489.9426069,13155.750900931835,60.1244957603,24.7537901993,11.275510470876286,,2.958305932664606,2.9575783858585143,-0.0007275468060918833,4173.0,2.948990103499786
1,190510_2per_43_forfit,394399688.9190415,13155.757538071271,60.1244957603,24.7537901993,11.273837067779736,,2.9587450412199723,2.9576752746117423,-0.001069766608229994,4173.0,2.949038155159071
1,190510_2per_43_forfit,394399887.895476,13155.764175210705,60.1244957603,24.7537901993,11.275422471812533,,2.9583290207708854,2.9577733365742334,-0.0005556841966520842,4173.0,2.9490903755686606
