Spectrum Number,Spectrum Name,Frequency (MHz),Wavenumber (cm-1),Pressure (Torr),Temperature (C),Tau (us),Tau Error (%),Alpha (ppm/cm),Model (ppm/cm),Residuals (ppm/cm),QF,Background,CIA (ppm/cm)
1,20_torr,394376977.7792743,13154.999975992536,20.000000000000004,25.0,-802136.5805823045,0.0361427983150089,-4.15844512359733e-05,5.374891975274085e-07,4.2121940433500705e-05,1583.0,0.0,0
1,20_torr,394377126.77949226,13155.004946104824,20.000000000000004,25.0,370708.3966674762,0.0460565901532677,8.998018339934113e-05,6.574141251440661e-07,-8.932276927419706e-05,1583.0,0.0,0
1,20_torr,394377278.6903252,13155.010013304778,20.000000000000004,25.0,-2474583.4253434986,0.0361427983150089,-1.3479605972542624e-05,8.640779025386261e-07,1.434368387508125e-05,1583.0,0.0,0
1,20_torr,394377430.67380804,13155.015082928072,20.000000000000004,25.0,-158789.28563773018,0.0361427983150089,-0.0002100671300702,1.2878102132575584e-06,0.00021135494028345756,1583.0,0.0,0
1,20_torr,394377577.7781888,13155.019989802038,20.000000000000004,25.0,248849.02603138448,0.0679693101025703,0.0001340427569751,2.233273748124731e-06,-0.00013180948322697526,1583.0,0.0,0
1,20_torr,394377727.452198,13155.024982389585,20.000000000000004,25.0,1300724.0119362504,0.0108829987747952,2.5644494307567247e-05,4.504256848416132e-06,-2.1140237459151115e-05,1583.0,0.0,0
1,20_torr,394377878.46746755,13155.030019716758,20.000000000000004,25.0,637340.9966084368,0.0220420430092801,5.2336833339325234e-05,9.600181388568177e-06,-4.273665195075706e-05,1583.0,0.0,0
1,20_torr,394378025.91569686,13155.034938060278,20.000000000000004,25.0,341663.84058135306,0.0403454648345749,9.762932320569276e-05,1.9218294464410732e-05,-7.841102874128202e-05,1583.0,0.0,0
1,20_torr,394378176.74372244,13155.039969141666,20.000000000000004,25.0,247851.13035340895,0.0511915756111191,0.0001345824385479,3.518318871857376e-05,-9.939924982932623e-05,1583.0,0.0,0
1,20_torr,394378326.20308167,13155.04495456926,20.000000000000004,25.0,217694.56377500936,0.0500751232526332,0.0001532257349076,5.590605684643082e-05,-9.731967806116918e-05,1583.0,0.0,0
1,20_torr,394378477.03113973,13155.049985651733,20.000000000000004,25.0,647934.8886413774,0.0361427983150089,5.148111346459304e-05,7.65390880336476e-05,2.505797456905456e-05,1583.0,0.0,0
1,20_torr,394378626.65165657,13155.054976454963,20.000000000000004,25.0,218707.73598654056,0.0326737489394394,0.0001525159106483,8.909812266592612e-05,-6.341778798237388e-05,1583.0,0.0,0
1,20_torr,394378778.5414039,13155.060042951576,20.000000000000004,25.0,173990.30691459213,0.0533966736945692,0.0001917141828837,8.807810632139195e-05,-0.00010363607656230804,1583.0,0.0,0
1,20_torr,394378927.9693416,13155.06502733106,20.000000000000004,25.0,415890.4266030242,0.0031198171487996,8.020480248191568e-05,7.401472116155879e-05,-6.190081320356895e-06,1583.0,0.0,0
1,20_torr,394379076.1353801,13155.069969618116,20.000000000000004,25.0,318145.17826384655,0.0266271711282759,0.0001048465034166,5.3318093673917466e-05,-5.152840974268253e-05,1583.0,0.0,0
1,20_torr,394379227.030595,13155.0750029407,20.000000000000004,25.0,690146.6107235029,0.0079573506991974,4.833235286752565e-05,3.28610787033582e-05,-1.547127416416745e-05,1583.0,0.0,0
1,20_torr,394379375.0744588,13155.079941152448,20.000000000000004,25.0,353783.5577585935,0.0394142441304502,9.428479302753851e-05,1.7978196406006147e-05,-7.630659662153237e-05,1583.0,0.0,0
1,20_torr,394379525.1870576,13155.08494836977,20.000000000000004,25.0,804061.7464183718,0.0168208740078658,4.148488554317954e-05,8.910087281966608e-06,-3.257479826121293e-05,1583.0,0.0,0
1,20_torr,394379675.93464214,13155.089976767931,20.000000000000004,25.0,367251.86303090403,0.0446009909400398,9.08270668650312e-05,4.340431998693195e-06,-8.6486634866338e-05,1583.0,0.0,0
1,20_torr,394379826.22100776,13155.09498978149,20.000000000000004,25.0,-529013.3802098171,0.0361427983150089,-6.305399970523505e-05,2.3498515467998307e-06,6.540385125203488e-05,1583.0,0.0,0
1,20_torr,394379977.3233608,13155.100030013456,20.000000000000004,25.0,314789.4804087058,0.0538402768307524,0.0001059641811299,1.5481176702189118e-06,-0.00010441606345968108,1583.0,0.0,0
1,20_torr,394380126.706748,13155.105012906895,20.000000000000004,25.0,420803.4520113549,0.0402317678670843,7.926838375583268e-05,1.238711856383685e-06,-7.8029671899449e-05,1583.0,0.0,0
1,20_torr,394380277.82795924,13155.110053767905,20.000000000000004,25.0,748428.2908819896,0.0223958196554444,4.4568611216588495e-05,1.11877494213663e-06,-4.3449836274451865e-05,1583.0,0.0,0
1,20_torr,394380425.6156665,13155.11498343519,20.000000000000004,25.0,851368.1940533811,0.0196338859185209,3.917976940271244e-05,1.0852606508892734e-06,-3.8094508751823165e-05,1583.0,0.0,0
1,20_torr,394380576.845828,13155.120027930388,20.000000000000004,25.0,3023399.113368094,0.0051081921084252,1.103275097631945e-05,1.1005073656775554e-06,-9.932243610641895e-06,1583.0,0.0,0
1,20_torr,394380724.556793,13155.124955037829,20.000000000000004,25.0,-386408.27739237377,0.0361427983150089,-8.632426237066299e-05,1.1528295305786594e-06,8.747709190124165e-05,1583.0,0.0,0
1,20_torr,394380875.50881755,13155.129990255378,20.000000000000004,25.0,-140523.22817523117,0.0361427983150089,-0.0002373729237007,1.2431121013207406e-06,0.00023861603580202075,1583.0,0.0,0
1,20_torr,394381024.3455486,13155.13495491433,20.000000000000004,25.0,211586.1690676518,0.080588810084424,0.0001576492909097,1.3729371582050425e-06,-0.00015627635375149495,1583.0,0.0,0
1,20_torr,394381175.5945974,13155.14000003954,20.000000000000004,25.0,-1743610.7302782987,0.0361427983150089,-1.9130651664715992e-05,1.5568032941886643e-06,2.0687454958904657e-05,1583.0,0.0,0
1,20_torr,394381327.21853757,13155.14505766978,20.000000000000004,25.0,-11151413.478535078,0.0361427983150089,-2.9912270389777635e-06,1.813377090826838e-06,4.8046041298046014e-06,1583.0,0.0,0
